,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
0,...,...,desarrollador de software,agencia de empleo de colsubsidio,https://co.computrabajo.com/caja-colombiana-de-subsidio-familiar-colsubsidio-,...,"bogotá, d.c., bogotá, d.c.",importante empresa requiere de manera urgente ingeniero de sistemas- tecnólogo en desarrollo de software para el cargo...,ayer
1,se precisa urgente,empleo destacado,desarrollador laravel,closer design networks,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-closer-design-networks-E399900B3AA928AB,...,"bogotá, d.c., bogotá, d.c.",trabaja en el desarrollo de productos innovadores que sirven a empresas a nivel global. solo necesitas tener...,hace 3 días
2,...,...,desarrollador de php laravel,2b ecommerce,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-2b-ecommerce-85D5F51A572E5157,...,"antioquia, medellín",el desarrollador de php es responsable de desarrollar y mantener el código de back-end de la aplicación en laravel....,hace 5 días
3,...,...,arquitecto de software laravel,konecta,https://co.computrabajo.com/konecta,"4,2","risaralda, pereira","haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! buscamos personas como tú, dinámicas, proactivas...",hace 6 días
4,...,...,arquitecto de software laravel,konecta,https://co.computrabajo.com/konecta,"4,2","valle del cauca, cali","haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! buscamos personas como tú, dinámicas, proactivas...",hace 6 días
5,...,...,arquitecto de software laravel,konecta,https://co.computrabajo.com/konecta,"4,2","córdoba, montería","haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! buscamos personas como tú, dinámicas, proactivas...",hace 6 días
6,...,...,arquitecto de software laravel,konecta,https://co.computrabajo.com/konecta,"4,2","antioquia, medellín","haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! buscamos personas como tú, dinámicas, proactivas...",hace 6 días
7,...,...,arquitecto de software laravel,konecta,https://co.computrabajo.com/konecta,"4,2","bogotá, d.c., bogotá, d.c.","haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! buscamos personas como tú, dinámicas, proactivas...",hace 6 días
8,...,...,desarrollador junior php laravel,tempo s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-tempo-sas-CC8DB9EE970D0ACD,"4,3","atlántico, barranquilla","importante empresa de telecomunicaciones solicita desarrollador junior php laravel, debe ser profesional o estudiante...",hace 7 días
9,se precisa urgente,empleo destacado,desarrollador php y laravel,...,...,...,"santander, girón","se requiere desarrollador/a con experiencia mínimo de 1 año en php, laravel, html, javascript, mysql. mantenimiento y...",hace 7 días
10,...,...,programador php laravel linux :,metabiblioteca s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-metabiblioteca-sas-959214AC3CCBD607,...,"bogotá, d.c., bogotá, d.c.","importante empresa del sector de servicios educativos y bibliotecas, requiere programador analista de desarrollo web...",3 de diciembre
11,...,empleo destacado,desarrollador/a php laravel,woutsourcing,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-woutsourcing-8647FCF2786257ED,"4,0","bogotá, d.c., bogotá, d.c.",somos una compañía con más de 28 años de experiencia ytrayectoria en suministro de servicios especializados de recurso...,1 de diciembre
12,...,...,"desarrollador full stack angular, php y laravel",grupo oet,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-grupo-oet-ED2C2E741A7EB072,"4,2","bogotá, d.c., bogotá, d.c.","empresa que ofrece servicios de soluciones digitales al sector logístico y transporte, por más de 26 años, requiere...",1 de diciembre
13,se precisa urgente,empleo destacado,desarrollador php middle,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","nariño, pasto",importante compañia solicita para su equipo de trabajo: tecnico - tecnologo desarrollador php middle con...,28 de noviembre
14,se precisa urgente,empleo destacado,desarrollador php middle,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","antioquia, medellín",importante compañia solicita para su equipo de trabajo: tecnico - tecnologo desarrollador php middle con...,28 de noviembre
15,...,...,"programador/a senior conocimientos en laravel, php, poo, bases de datos, html y javascript",radio enlace sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-radio-enlace-sas-7EE6B252343C8C61,...,"antioquia, medellín","programador/a senior conocimientos en laravel, php, poo, bases de datos, html y javascript, tiempo completo, salario...",21 de noviembre
16,...,...,programador php junior,savia servicios sas esp,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-savia-servicios-sas-esp-50A4DF24ECE39272,...,"antioquia, medellín","se necesita programador con experiencia desarrollando aplicaciones con php, preferiblemente con la versión 7 o...",más de 30 días
17,se precisa urgente,empleo destacado,líder en desarrollo de software,...,...,...,"bogotá, d.c., bogotá, d.c.","importante empresa del sector tecnológico, con 39 años de trayectoria en la comercialización de tecnología, requiere...",hace 15 horas
18,...,...,ingeniero de sistemas,organizacion clinica bonnadona - prevenir s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-organizacion-clinica-bonnadona-prevenir-sas-421B7D122EB6014E,"4,2","atlántico, barranquilla","se solicita ingeniero o estudiante de últimos semestres de ingeniería de sistemas o afines , con un año de experiencia...",hace 16 horas
19,se precisa urgente,...,analista programador,espumados s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-espumados-sa-F72F1D5895940D0F,"4,3","cundinamarca, soacha","nos encontramos en la búsqueda de analista nacional de programación requisitos: profesional en ingeniería de sistemas,...",ayer
20,se precisa urgente,empleo destacado,desarrollador backend y frontend,gowtic,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-gowtic-71A330B4B265A9F0,...,"valle del cauca, cali","compañía de soluciones tecnológicas requiere para su equipo de trabajo desarrollador backend y frontend, debe contar...",ayer
21,...,...,ingeniero,pijaos salud epsi,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-pijaos-salud-epsi-F50167F0629A0CE8,"4,3","tolima, ibagué","se requiere profesionalde ingeniería de sistemas, con o sin experiencia; debe contar con conocimientos en programación...",ayer
22,...,empleo destacado,desarrollador php senior,browser travel solutions,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-browser-travel-solutions-sas-CDB14B3076E3636A,"3,7","bogotá, d.c., bogotá, d.c.",importante compañía de desarrollo y diseño de páginas web se encuentra en búsqueda de desarrolladores php con...,hace 2 días
23,...,empleo destacado,líder de programación,...,...,...,"risaralda, pereira",empresa de servicios tecnológicos con experiencia de 10 años en el mercado y participación nacional. requiere líder de...,hace 2 días
24,se precisa urgente,empleo destacado,desarrollador backend,sinchi creaciones s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-sinchi-creaciones-sas-EAD6AA65EA2757ED,...,"antioquia, medellín","buscamos desarrollador backend, con experiencia para la creación, seguimiento y actualización de una plataforma de...",hace 2 días
25,se precisa urgente,empleo destacado,desarrollador/a,espumados s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-espumados-sa-F72F1D5895940D0F,"4,3","cundinamarca, soacha","nos encontramos en la búsqueda de analista nacional de programación requisitos: profesional en ingeniería de sistemas,...",hace 2 días
26,...,...,desarrollador/a,agencia de empleo de comfenalco cartagena,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-agencia-de-gestion-y-colocacion-de-empleos-comfenalco--1AB0FC31013A9757,...,"bolívar, cartagena de indias","importante empresa solicita técnico o tecnólogo en programación ( php, mysql; preferiblemente con manejo en framework,...",hace 3 días
