,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
0,...,...,aprendiz administrativo o logístico (pereira),emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","risaralda, pereira","si eres una persona dinámica y enérgica, queremos que hagas parte de nuestra gran familia emtelco; debes demostrar tus...",hace 21 minutos
1,...,...,aprendiz administrativo o logístico (armenia),emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","quindio, armenia","si eres una persona dinámica y enérgica, queremos que hagas parte de nuestra gran familia emtelco; debes demostrar tus...",hace 21 minutos
2,...,...,aprendiz administrativo o logístico (cartago),emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","valle del cauca, cartago","si eres una persona dinámica y enérgica, queremos que hagas parte de nuestra gran familia emtelco; debes demostrar tus...",hace 21 minutos
3,...,...,auxiliar logistico,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","cundinamarca, facatativá","importante compañía multinacional dedicada a la fabricación y venta de productos de belleza y cosméticos, necesita...",hace 21 minutos
4,...,...,auxiliar logístico,mision empresarial s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-empresarial-sa-BFC82CBE99C9A6C7,"4,1","valle del cauca, yumbo","importante empresa industrial ubicada en yumbo, requiere para su grupo de trabajo auxiliar logístico, técnico y/o...",hace 21 minutos
5,...,...,auxiliar logístico,staffing de colombia,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-staffing-de-colombia-42FF03AC67F788D1,"4,3","bogotá, d.c., bogotá, d.c.",importante y reconocida empresa del sector de logística y transporte requiere para su equipo de trabajo auxiliares de...,hace 21 minutos
6,...,...,auxiliar logístico empresas de alimentos o a fines,alianza temporal s.a.s,https://co.computrabajo.com/alianzatemporal,"4,1","cundinamarca, madrid",importante empresa de producción de alimentos requiere para su equipo de trabajo un auxiliar logístico bachiller con...,hace 21 minutos
7,...,...,asistente de logística,grupo alianza,https://co.computrabajo.com/grupoalianza,"4,0","bogotá, d.c., bogotá, d.c.","importantecompañía de trabajo ubicada en el centro de la ciudad, requiere para su equipo de trabajoasistente de de...",hace 21 minutos
8,...,...,aprendiz administrativo o logístico (manizales),emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","caldas, manizales","si eres una persona dinámica y enérgica, queremos que hagas parte de nuestra gran familia emtelco; debes demostrar tus...",hace 52 minutos
9,...,...,coordinador logístico,ocupar temporales s.a.,https://co.computrabajo.com/ocupartemporales,"4,2","antioquia, medellín","se requiere personal con titulación tecnica o tecnologa en áreas logísticas, mínimo seis meses de experiencia en áreas...",hace 52 minutos
10,...,...,auxiliar de logistica,adecco colombia s.a.,https://co.computrabajo.com/adecco-colombia-sa,"4,3","cundinamarca, funza","importante compañía del sector moda. requiere para su equipo de trabajo auxiliar logistico, para trabajar en cedi....",hace 52 minutos
11,...,empleo destacado,técnologo en mercadeo,dar ayuda temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-dar-ayuda-temporal-2E134E3F93C933CB,"4,3","bogotá, d.c., bogotá, d.c.","importante empresa del sector de ingeniería industrial avanzado y metalmecánico, lideres en manufactura industrial,...",hace 52 minutos
12,...,...,"logisticos con o sin experiencia para bello, itagui, medellin",activos s a s,https://co.computrabajo.com/activos,"4,2","antioquia, medellín",reconocida empresa colombiana dedicada a la producción y expendio de bebidas solicita de manera urgente logísticos...,hace 52 minutos
13,...,...,técnicos en logística,multiempleos s.a.,https://co.computrabajo.com/multiempleos,"4,2","antioquia, sabaneta",importante empresa transporte requiere para su equipo de trabajo auxiliar operativo con experiencia mínima de un año...,hace 52 minutos
14,se precisa urgente,empleo destacado,auxiliar de bodega,staffing de colombia,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-staffing-de-colombia-42FF03AC67F788D1,"4,3","valle del cauca, cali",importante empresa requiere para su equipo de trabajo asistente logístico con experiencia de 1 año en atender y...,hace 52 minutos
15,...,empleo destacado,operario logistico,jiro s.a.,https://co.computrabajo.com/jiro,"4,3","antioquia, medellín","importante empresa del sector cosetico ubicada al sur de la ciudad, require para su equipo de trabajo bachiller con...",hace 1 hora
16,...,...,supervisor logistico,dar ayuda temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-dar-ayuda-temporal-2E134E3F93C933CB,"4,3","antioquia, medellín","funciones: liderarla operación de multilogistica, cross docking, distribución e inventario, manejo de bases de datos,...",hace 1 hora
17,...,empleo destacado,auxiliar logístico,suministramos recursos humanos temporales sumitemp s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-suministramos-recursos-humanos-temporales-sumitemp-sas-82FC704B48D85533,"4,3","antioquia, copacabana",importante empresa del sector farmacéutico requiere para su equipo auxiliares de cedi con o sin experiencia ...,hace 1 hora
18,...,...,auxiliar logístico/inventarios,activos s a s,https://co.computrabajo.com/activos,"4,2","antioquia, medellín",empresa multinacional de lácteos esta en la búsqueda para su equipo personas con conocimientos en el área de logística...,hace 1 hora
19,...,...,personal con o sin experiencia para laborar como auxiliar logistico,mision empresarial s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-empresarial-sa-BFC82CBE99C9A6C7,"4,1","antioquia, medellín","importante empresa del sector textil está en búsqueda de auxiliares logísticos sin experiencia, con buena actitud y...",hace 1 hora
20,...,...,"operarias de producción, logísticas , aux operativas o de bodega",nexarte servicios temporales s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-nexarte-servicios-temporales-sa-584B486BED116B1E,"4,2","bogotá, d.c., bogotá, d.c.",contratación inmediata - importante multinacional de alimentos requiere para contratación inmediata 150 operari@s de...,hace 1 hora
21,se precisa urgente,empleo destacado,"gran convocatoria laboral!! auxiliar logístico, bodega y producción sin experiencia",activos s a s,https://co.computrabajo.com/activos,"4,2","bogotá, d.c., bogotá, d.c.",respuesta inmediata se necesitan mas de 100 personas. importante empresa del país de alimentosrequiere para su equipo...,hace 2 horas
22,se precisa urgente,empleo destacado,auxiliares logísticos,mision empresarial s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-empresarial-sa-BFC82CBE99C9A6C7,"4,1","antioquia, medellín","importante empresa del sector textil, ubicada en la tablaza, requiere auxiliares logísticos con mínimo 1 año de...",hace 2 horas
23,...,empleo destacado,"operarias de producción, logísticas , aux operativas o de bodega",nexarte servicios temporales s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-nexarte-servicios-temporales-sa-584B486BED116B1E,"4,2","bogotá, d.c., bogotá, d.c.",contratación inmediata - importante multinacional de alimentos requiere para contratación inmediata 150 operari@s de...,hace 2 horas
24,se precisa urgente,empleo destacado,montacarguista,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","antioquia, la estrella",empresa de logística busca para su equipo de trabajo montacarguista . debe de contar con su curso de alturas y...,hace 2 horas
26,...,...,auxiliar logístico comercial,organización servicios y asesorias s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-servicios-y-asesorias-sas-0330A167A59B45C0,"4,2","valle del cauca, buenaventura","importante empresa de sector de mensajería, requiere auxiliares de bodegao auxiliar logistico con experiencia mínima...",hace 2 horas
27,...,...,supervisor de logística,proservis,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-proservis-1A71DB701224A077,"4,2","tolima, san sebastián de mariquita",importante empresa requiere para su equipo de trabajo supervisor de logística. *nivel de estudio: tecnólogo en...,hace 3 horas
28,...,...,convocatoria abierta,manpower professional ltda,https://co.computrabajo.com/manpower,"4,4","antioquia, medellín","preséntate! al edificio coltejer piso 8, el lunes 5 de diciembre a las 8:30 am o a las 2:00 pm, con hoja de vida,...",hace 3 horas
29,...,...,auxiliar logistico,dar ayuda temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-dar-ayuda-temporal-2E134E3F93C933CB,"4,3","antioquia, medellín",tenemos una oferta laboral para ti! importante empresa de logística y mensajería se encuentra en la búsqueda de un...,hace 3 horas
30,se precisa urgente,empleo destacado,auxiliares logísticos gran oportunidad laboral para la ciudad de madrid,activos s a s,https://co.computrabajo.com/activos,"4,2","cundinamarca, madrid",prestigiosa empresa del sector floricultor requiere para su equipo de trabajo personasbachilleres con experiencia...,hace 3 horas
31,se precisa urgente,empleo destacado,analista logística y compras internacionales,multiempleos s.a.,https://co.computrabajo.com/multiempleos,"4,2","bogotá, d.c., bogotá, d.c.",importante empresa del sector requiere para su equipo de trabajo analista logística y compras internacionales:...,hace 3 horas
32,...,...,auxiliar logistico o de bodega,manpower professional ltda,https://co.computrabajo.com/manpower,"4,4","cundinamarca, tocancipá",empresa dedicada al sector logístico requiere bachiller con un año de experiencia certificada recientemente en...,hace 4 horas
33,...,...,auxiliar de ventas y logistico,dar ayuda temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-dar-ayuda-temporal-2E134E3F93C933CB,"4,3","bogotá, d.c., bogotá, d.c.",importante empresa del sector de motos requiere de manera inmediata auxiliares de ventas y logisticos que cuenten con...,hace 4 horas
34,...,...,auxiliar de logistica,gi group colombia,https://co.computrabajo.com/gigroupcolombia,...,"huila, pitalito","importante empresa del sector de mensajería requiere personal para el cargo de auxiliar logístico, experiencia mínima...",hace 4 horas
35,...,...,coordinador logística junior,...,...,...,"santander, floridablanca",empresa del sector requiere para su equipo de trabajo coordinador logístico para cumplir funciones como:...,hace 4 horas
36,...,...,auxiliar logistico,suministramos recursos humanos temporales sumitemp s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-suministramos-recursos-humanos-temporales-sumitemp-sas-82FC704B48D85533,"4,3","atlántico, barranquilla",importante empresadel sector farmacéutico necesita para suequipo de trabajoauxiliar de bodega con mas de 6 meses de...,hace 4 horas
37,...,empleo destacado,auxiliar logístico con o sin experiencia funza,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","cundinamarca, funza","importante empresa del sector logistico requiere para su equipo de trabajo auxiliares de bodega con o sin experiencia,...",hace 5 horas
38,...,...,auxiliares logísticos administrativos,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","cundinamarca, funza",importanteempresade distribución a nivel nacional requiereauxiliares logisticos para trabajar en su sede en funza...,hace 5 horas
39,...,empleo destacado,operarios logísticos,...,...,...,"cundinamarca, funza","importante empresa solicita operarios logísticos sin experiencia, que vivan en funza, mosquera, madrid, bachilleres,...",hace 6 horas
40,...,...,operadores logísticos,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","cundinamarca, funza","reconocida empresa del sector logístico requiere operadores logisticos, para trabajar en su sede en funza requisitos:...",hace 6 horas
41,...,...,auxiliar logístico montevideo,complementos humanos,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-complementos-humanos-20DDCDF8A8BEDA1B,"4,3","bogotá, d.c., bogotá, d.c.",importante compañía nacional requiere para su equipo de trabajo bachilleres con o sin experiencia en sector logístico....,hace 6 horas
42,...,empleo destacado,auxiliar de logistica ó distribucion,proservis,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-proservis-1A71DB701224A077,"4,2","cundinamarca, funza",importante multinacional reconocida requiere personal para el cargo auxiliar de losgistica u transporte requisitos:...,hace 6 horas
43,...,empleo destacado,"gran jornada de empleos para cargos del sector operativo, logístico, conducción, construcción",...,...,...,"valle del cauca, cali","la agencia pública de empleo de comfenalco valle en apoyo a una de sus empresas clientes, te invita a participar de la...",hace 6 horas
