,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
0,se precisa urgente,empleo destacado,asesor comercial contact center. 6 meses de exp en servicio al cliente. lunes a sábado,webhelp colombia,https://co.computrabajo.com/webhelpcolombia,"4,3","antioquia, itagüí","para ti, que eres un experto en las comunicaciones, en webhelp medellín estamos en la búsqueda de talento humano. ven...",hace 15 minutos
2,se precisa urgente,...,ejecutivo servicio al cliente/bogotá/presencial,webhelp colombia,https://co.computrabajo.com/webhelpcolombia,"4,3","bogotá, d.c., bogotá, d.c.","hola, ¡somos webhelp! el contact center donde tú estás primero. tenemos presencia en más de 55 países y somos una...",hace 15 minutos
3,...,...,representante de servicio al cliente y venta cruzada,organización servicios y asesorias s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-servicios-y-asesorias-sas-0330A167A59B45C0,"4,2","bogotá, d.c., bogotá, d.c.","se requiere asesores de servicio al cliente y venta cruzada para laborar en importante empresa de servicios de españa,...",hace 15 minutos
4,...,...,"call center bilingüe (sueldo de 3'200.000) servicio al cliente + 42 horas, 2 days off",atento s.a.,https://co.computrabajo.com/atento-sa,"4,1","bogotá, d.c., bogotá, d.c.","recuerda que la oferta laboral es presencial en bogota y es solo servico al cliente (nada de ventas, retenciones,...",hace 35 minutos
5,...,...,"bilingual agent (costumer service campaign, earn up to 3'200.000) 42 h, 2 days off",...,...,...,"bogotá, d.c., bogotá, d.c.","recuerda que la oferta laboral es presencial en bogota y es solo servico al cliente (nada de ventas, retenciones,...",hace 35 minutos
6,...,...,"call center bilingüe (sueldo de 3'200.000) servicio al cliente + 42 horas, 2 days off",atento s.a.,https://co.computrabajo.com/atento-sa,"4,1","bogotá, d.c., bogotá, d.c.","recuerda que la oferta laboral es presencial en bogota y es solo servico al cliente (nada de ventas, retenciones,...",hace 36 minutos
7,...,...,agente call center,consultores all jobs sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-consultores-all-jobs-sas-BFF74F0275B16578,...,"antioquia, medellín",importante empresa prestadora de servicios se encuentra en búsqueda de asesores contact center (call center) para...,hace 44 minutos
8,...,...,asesor de servicio al cliente,emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","antioquia, medellín","bienvenido/a al proceso de selección para creador de experiencia servicio al cliente exito. actualmente, nuestro...",hace 46 minutos
9,se precisa urgente,empleo destacado,asesor comercial contact center. 6 meses de exp en servicio al cliente. lunes a sábado,webhelp colombia,https://co.computrabajo.com/webhelpcolombia,"4,3","antioquia, itagüí","para ti, que eres un experto en las comunicaciones, en webhelp medellín estamos en la búsqueda de talento humano. ven...",hace 46 minutos
12,...,...,asesor servicio al cliente en call center,comdata group,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-comdata-group-66BD34796378DC5A,"4,1","bogotá, d.c., bogotá, d.c.","importante multinacional de origen español, se encuentra en búsqueda de agentes call center para laborar en al área...",hace 49 minutos
13,...,...,auxiliar servicio al cliente /manejo de excel,manpower professional ltda,https://co.computrabajo.com/manpower,"4,4","bogotá, d.c., bogotá, d.c.",importante empresa del sector automotriz requiere de personal agente autolinea que cuente con habilidades en análisis...,hace 1 hora
14,se precisa urgente,empleo destacado,asesor de soporte técnico y servicio al cliente,teleperformance colombia,https://co.computrabajo.com/teleperformance,"4,3","antioquia, medellín",aplica a nuestra línea de ventas en telecomunicaciones. el salario de esta oferta está sujeto a un contrato de trabajo...,hace 1 hora
15,se precisa urgente,empleo destacado,"agente de servicio cliente call center técnico o tecnólogo, para compañía alkosto",...,...,...,"bogotá, d.c., bogotá, d.c.","bienvenidos al proceso de selección virtual de emtelco!!! importante empresa de contac center y bpo, requiere para su...",hace 1 hora
16,...,...,asistente de servicio al cliente,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","atlántico, barranquilla",importante empresa de la ciudad de barranquilla requiere para su equipó de trabajo personal tecnólogo y/o profesional...,hace 1 hora
