,titles,companies_name,companies_link,how_longs,short_descriptions
0,Líder en Desarrollo de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 10 horas,"No te podemos prometer tanta adrenalina como la que sientes mientras tu novia/o te revisa el celular, pero sí te..."
1,Líder en Desarrollo de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 10 horas,"No te podemos prometer tanta adrenalina como la que sientes mientras tu novia/o te revisa el celular, pero sí te..."
2,Líder en Desarrollo de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 11 horas,"No te podemos prometer tanta adrenalina como la que sientes mientras tu novia/o te revisa el celular, pero sí te..."
3,Líder en Desarrollo de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 11 horas,"No te podemos prometer tanta adrenalina como la que sientes mientras tu novia/o te revisa el celular, pero sí te..."
4,Líder en Desarrollo de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 11 horas,"No te podemos prometer tanta adrenalina como la que sientes mientras tu novia/o te revisa el celular, pero sí te..."
5,Desarrollador junior PHP Laravel,TEMPO S.A.S.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-tempo-sas-CC8DB9EE970D0ACD,Ayer,"Importante empresa de telecomunicaciones solicita DESARROLLADOR JUNIOR PHP LARAVEL, debe ser profesional o estudiante..."
6,Desarrollador   Php y Laravel,Sin empresa registrada...,Sin link de empresa...,Ayer,"Se requiere Desarrollador/a con experiencia mínimo de 1 año en Php, Laravel, Html, JavaScript, Mysql. Mantenimiento y..."
7,Arquitecto de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 4 días,"Haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! Buscamos personas como tú, dinámicas, proactivas..."
8,Junior PHP Laravel,SU SERVICIO INMEDIATO S.A.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-su-empleo-oportuno-sas-4A37E9344AE422CE,Hace 4 días,"Importante empresa del Sector de Productos Consumo, esta en búsqueda de Ingeniero de Sistemas, Tecnólogo o ..."
9,Arquitecto de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 5 días,"Haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! Buscamos personas como tú, dinámicas, proactivas..."
10,Arquitecto de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 5 días,"Haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! Buscamos personas como tú, dinámicas, proactivas..."
11,Arquitecto de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 5 días,"Haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! Buscamos personas como tú, dinámicas, proactivas..."
12,Arquitecto de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 5 días,"Haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! Buscamos personas como tú, dinámicas, proactivas..."
13,Arquitecto de Software Laravel,KONECTA,https://co.computrabajo.com/konecta,Hace 5 días,"Haz parte de nuestro equipo y vive experiencias ¡únicas y memorables! Buscamos personas como tú, dinámicas, proactivas..."
14,Desarrollador/a PHP Laravel,wOutsourcing,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-woutsourcing-8647FCF2786257ED,Hace 5 días,Somos una compañía con más de 28 años de experiencia ytrayectoria en suministro de servicios especializados de recurso...
15,Desarrollador junior PHP Laravel,TEMPO S.A.S.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-tempo-sas-CC8DB9EE970D0ACD,Hace 5 días,"Importante empresa de telecomunicaciones solicita DESARROLLADOR JUNIOR PHP LARAVEL, debe ser profesional o estudiante..."
16,Desarrollador Laravel,Closer Design Networks,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-closer-design-networks-E399900B3AA928AB,Hace 5 días,Trabaja en el desarrollo de productos innovadores que sirven a empresas a nivel global. Solo necesitas tener...
17,"programador/a Senior conocimientos en Laravel, PHP, POO, Bases de Datos, HTML y JavaScript",Radio Enlace SAS,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-radio-enlace-sas-7EE6B252343C8C61,Hace 6 días,"Programador/a Senior conocimientos en Laravel, PHP, POO, Bases de Datos, HTML y JavaScript, Tiempo completo, salario..."
18,Desarrollador PHP Middle,MISION TEMPORAL,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,Hace 7 días,Importante compañia solicita para su equipo de trabajo:  TECNICO - TECNOLOGO  Desarrollador PHP Middle con...
19,Desarrollador de Software,Agencia de empleo de Colsubsidio,https://co.computrabajo.com/caja-colombiana-de-subsidio-familiar-colsubsidio-,Hace 7 días,Importante empresa requiere de manera urgente Ingeniero de Sistemas- Tecnólogo en desarrollo de software para el cargo...
